quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
primary_mean_difference|recurrent|most_frequent_personal_destination,0.05723064430635137,0.0002651757826830651,0.11475404880853154,0.000481275906873168,0.11258294951984732
interaction75_25|recurrent|most_frequent_personal_destination,0.03732335011533113,0.016081236189804376,0.05971467931498412,0.016949601300966555,0.05941289250609681
difference|recurrent|nearest_known_destination_to_current_point|0.25,0.3151708485699171,0.24467667074478958,0.3859359916979632,0.24612674554469177,0.38567324604570896
difference|recurrent|nearest_known_destination_to_current_point|0.50,0.2801140011785393,0.21070535639985763,0.3487987179158052,0.21284194446232094,0.3486404658154613
difference|recurrent|nearest_known_destination_to_current_point|0.66,0.21961222808938674,0.14711667258607297,0.292099739023416,0.1492300378830236,0.2920903303865981
difference|recurrent|nearest_known_destination_to_current_point|0.75,0.19503531313335576,0.12677886100117355,0.265697789454402,0.12775009412605196,0.2662120672389752
primary_mean_difference|recurrent|nearest_known_destination_to_current_point,0.25248309774279976,0.19078559058668454,0.3161467480692464,0.19230558388286648,0.3172736284373025
interaction75_25|recurrent|nearest_known_destination_to_current_point,-0.12013553543656133,-0.19481882411675383,-0.05232938991632582,-0.19386850883912154,-0.04978861645335285
difference|recurrent|last_observed_point|0.25,0.3151708485699171,0.24467667074478958,0.3859359916979632,0.24612674554469177,0.38567324604570896
difference|recurrent|last_observed_point|0.50,0.2801140011785393,0.21070535639985763,0.3487987179158052,0.21284194446232094,0.3486404658154613
difference|recurrent|last_observed_point|0.66,0.21961222808938674,0.14711667258607297,0.292099739023416,0.1492300378830236,0.2920903303865981
difference|recurrent|last_observed_point|0.75,0.19503531313335576,0.12677886100117355,0.265697789454402,0.12775009412605196,0.2662120672389752
primary_mean_difference|recurrent|last_observed_point,0.25248309774279976,0.19078559058668454,0.3161467480692464,0.19230558388286648,0.3172736284373025
interaction75_25|recurrent|last_observed_point,-0.12013553543656133,-0.19481882411675383,-0.05232938991632582,-0.19386850883912154,-0.04978861645335285
difference|recurrent|current_position_only_personal_retrieval|0.25,0.06674231665552895,0.024314426819043753,0.1083842981794782,0.02510278145503903,0.10854648597188585
difference|recurrent|current_position_only_personal_retrieval|0.50,0.09665704160131913,0.05404745697914652,0.14309819631484097,0.05433008510078341,0.14245813273792157
difference|recurrent|current_position_only_personal_retrieval|0.66,0.052790802134850774,0.009616722669481307,0.09703383024146617,0.010330242136270911,0.0969922019437454
difference|recurrent|current_position_only_personal_retrieval|0.75,0.01801238356303808,-0.02022885769809476,0.056168209030872274,-0.019345134455950094,0.0559546465290104
primary_mean_difference|recurrent|current_position_only_personal_retrieval,0.058550635988684235,0.02697274035740394,0.0899203348734291,0.026758338239141984,0.08963230428615813
interaction75_25|recurrent|current_position_only_personal_retrieval,-0.04872993309249088,-0.09476116544987465,-0.004750930146120883,-0.09501458932661033,-0.0039304569114087876
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.25,0.28028296102334704,0.2206280589991491,0.3411277282470526,0.22102111255242687,0.3418561899507922
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.50,0.22148021785325606,0.1434471464314519,0.29422466764319855,0.1444576531022455,0.29457506799932565
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.66,0.15642255939773575,0.06903791514976944,0.2372983275384318,0.07110839602006883,0.23863207302504685
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.75,0.12282407547145457,0.03710524905956352,0.20224841019227777,0.03910864792044517,0.202829845728241
primary_mean_difference|most_frequent_personal_destination|nearest_known_destination_to_current_point,0.19525245343644834,0.12373949997968317,0.26244511664898357,0.12504579411339478,0.2624828340162224
interaction75_25|most_frequent_personal_destination|nearest_known_destination_to_current_point,-0.15745888555189244,-0.2328582840769286,-0.0905044373123925,-0.23297656121980437,-0.08928276901519153
difference|most_frequent_personal_destination|last_observed_point|0.25,0.28028296102334704,0.2206280589991491,0.3411277282470526,0.22102111255242687,0.3418561899507922
difference|most_frequent_personal_destination|last_observed_point|0.50,0.22148021785325606,0.1434471464314519,0.29422466764319855,0.1444576531022455,0.29457506799932565
difference|most_frequent_personal_destination|last_observed_point|0.66,0.15642255939773575,0.06903791514976944,0.2372983275384318,0.07110839602006883,0.23863207302504685
difference|most_frequent_personal_destination|last_observed_point|0.75,0.12282407547145457,0.03710524905956352,0.20224841019227777,0.03910864792044517,0.202829845728241
primary_mean_difference|most_frequent_personal_destination|last_observed_point,0.19525245343644834,0.12373949997968317,0.26244511664898357,0.12504579411339478,0.2624828340162224
interaction75_25|most_frequent_personal_destination|last_observed_point,-0.15745888555189244,-0.2328582840769286,-0.0905044373123925,-0.23297656121980437,-0.08928276901519153
